stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,0.5,1.0,67.10286389999965,,67.08807260000322,67.10286389999965,67.60394220000308,67.60394220000308,67.60394220000308,67.90235109999776,69.25446300000476,left,-1.0,1,1,1.6437122999996063,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
25,0.5,1.0,69.26974280000286,,69.25460100000055,69.26974280000286,69.76930340000399,69.76930340000399,69.76930340000399,70.06973819999985,72.08700300000055,right,1.0,0,0,2.3153917000017827,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
26,0.5,1.5,72.10247589999926,,72.08714029999828,72.10247589999926,72.60279930000252,72.60279930000252,72.60279930000252,72.90125770000304,74.36901480000233,left,-1.5,1,1,1.7584879999994882,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
27,0.5,1.5,74.3850917000018,,74.36912980000488,74.3850917000018,74.86862990000373,74.86862990000373,74.88491720000457,75.1684069000039,76.75239190000138,right,1.5,1,1,1.8736078000001726,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
28,0.5,1.5,76.76742470000318,,76.75251990000106,76.76742470000318,77.26823370000056,77.26823370000056,77.26823370000056,77.56836599999951,78.95245409999916,right,1.5,1,1,1.6817327000026125,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
29,0.5,1.0,78.96694550000393,,78.95258389999799,78.96694550000393,79.46767430000182,79.46767430000182,79.46767430000182,79.76730150000367,81.45119530000375,right,1.0,0,0,1.9763307000030181,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
30,0.5,1.5,81.46660140000313,,81.45131680000486,81.46660140000313,81.95006609999837,81.95006609999837,81.96694949999801,82.25101970000105,83.95062200000393,left,-1.5,1,1,1.9892804999981308,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
31,0.5,1.5,83.96645089999947,,83.95075319999887,83.96645089999947,84.44997860000149,84.44997860000149,84.46694849999767,84.75017070000467,86.11808490000112,right,1.5,1,1,1.6631901000000653,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
32,0.5,1.5,86.1322369000045,,86.11821459999919,86.1322369000045,86.63332620000438,86.63332620000438,86.63332620000438,86.9321878999981,88.5163315000027,right,1.5,1,1,1.8722794999994221,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
33,0.5,1.0,88.5319141,,88.51646160000382,88.5319141,89.01502479999908,89.01502479999908,89.0322096000018,89.31542460000492,90.79757419999805,right,1.0,0,0,1.7720842999988236,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
34,0.5,1.5,90.81347020000248,,90.79763710000407,90.81347020000248,91.29838110000128,91.29838110000128,91.31542900000204,91.59835790000216,92.9659088000044,left,-1.5,1,1,1.6545607000007294,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
35,0.5,1.5,92.98157619999984,,92.96609929999977,92.98157619999984,93.48123250000208,93.48123250000208,93.48123250000208,93.78142900000239,95.89911840000423,right,1.5,1,1,2.40794889999961,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
36,0.5,1.5,95.91370029999962,,95.89922720000322,95.91370029999962,96.4140200000038,96.4140200000038,96.4140200000038,96.71445990000211,99.39759330000379,left,-1.5,1,1,2.9763959999982035,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
37,0.5,1.0,99.41270810000424,,99.39772000000085,99.41270810000424,99.91307740000047,99.91307740000047,99.91307740000047,100.21290210000006,101.84709080000175,right,1.0,1,1,1.921576399996411,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
38,0.5,1.0,101.86250100000325,,101.84721089999948,101.86250100000325,102.36266700000124,102.36266700000124,102.36266700000124,102.66250920000311,104.7299353999988,right,1.0,0,0,2.3518702000001213,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
39,0.5,1.5,104.74523010000121,,104.73007460000372,104.74523010000121,105.22899630000029,105.22899630000029,105.24548380000488,105.54522739999811,109.17765009999857,right,1.5,0,0,3.947969300003024,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
40,0.5,2.0,109.19349180000427,,109.17772259999765,109.19349180000427,109.67794080000021,109.67794080000021,109.694968900003,109.97819819999859,114.77788110000256,left,-2.0,0,0,5.087929400004214,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
41,0.5,2.5,114.79327570000169,,114.77802859999792,114.79327570000169,115.29341800000111,115.29341800000111,115.29341800000111,115.59322170000087,117.96231110000372,left,-2.5,1,1,2.6670521999985795,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
42,0.5,2.5,117.97615300000325,,117.96244699999806,117.97615300000325,118.47620969999844,118.47620969999844,118.47620969999844,118.77578270000231,120.611370300001,left,-2.5,0,0,2.13089129999571,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
43,0.5,3.0,120.62476820000302,,120.61149650000152,120.62476820000302,121.12624930000311,121.12624930000311,121.12624930000311,121.42543730000034,122.31028610000067,right,3.0,0,0,1.1822793000028469,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
44,0.5,3.5,122.32480470000155,,122.31043130000035,122.32480470000155,122.82490520000283,122.82490520000283,122.82490520000283,123.12546989999828,124.77691990000312,left,-3.5,1,1,1.9500453000000562,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
45,0.5,3.5,124.79097739999997,,124.77705350000178,124.79097739999997,125.29137140000239,125.29137140000239,125.29137140000239,125.59076730000379,127.10803609999857,right,3.5,1,1,1.802491700000246,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
46,0.5,3.5,127.12367380000069,,127.10814550000214,127.12367380000069,127.6060026999985,127.6060026999985,127.63981510000303,127.90806760000123,129.44079970000166,left,-3.5,1,1,1.8219871999972383,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
47,0.5,3.0,129.4562453000035,,129.44097370000236,129.4562453000035,129.95778419999988,129.95778419999988,129.95778419999988,130.2565334000028,131.84149679999973,left,-3.0,1,1,1.881934099998034,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
48,0.5,3.0,131.8559146999978,,131.841668699999,131.8559146999978,132.3557318000021,132.3557318000021,132.3557318000021,132.65617300000304,134.1733643999978,left,-3.0,1,1,1.8092768999995315,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
49,0.5,3.0,134.18916380000155,,134.17348800000036,134.18916380000155,134.67243369999778,134.67243369999778,134.68927290000283,134.97245850000036,136.49084040000162,right,3.0,1,1,1.8170855999997002,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
